measure_id,measure_name,short_description,type_of_strategy_or_measure,quantified_objective,indicative_budget_and_sources_of_financing,bodies_responsible_for_implementation,estimated_impact,state_of_implementation,date_of_entry_into_force,implementation_period
AT_200,Support of new constructions and extensions of solar energy systems,"The Province of Burgenland does not envisage any operation or a simplified or shortened procedure for a large part of these installations, in particular for the subsequent installation of solar energy installations. The non-traffic installations mainly concern private individuals in the EFH segment. At the same time, in the case of new buildings and major renovations of single-family, two-family, multi-family and terraced houses, there is an obligation to provide for structural and electronic measures for the subsequent installation of solar energy systems. In the case of new residential buildings, there is an obligation to build them using photovoltaic systems on building surfaces with a nominal output of at least 2 kWp per 100 m ² conditioned gross floor area.",Funding strategy,Optimal coverage of the energy demand of the respective object,,"Dept. 2 – Regional Planning, Municipalities and Economy",Improving energy independence at the site,constantly,,constantly
AT_201,Support of new constructions and extensions of solar power plant,"Installations of 5,000 PV installations and the construction of thermal solar installations of 1,500 m ²",Funding strategy,Optimal coverage of the energy demand of the respective object,€ 34 million/year,"Dept. 15 – Location, Spatial Planning and Energy","Achievement of the above-mentioned objective (5,000 PV plants and 1,500 m ² solar thermal energy)",enforcement,1.1.2025,until 31.12.2025
AT_202,Survey of the refurbishment potential in Tyrol,The survey of the refurbishment potential of a section of the Tyrolean sustainability and climate strategy aims to systematically record the energetic state of the building stock in Tyrol. The aim is to identify buildings with high renovation potential in order to implement targeted support measures and planning to increase energy efficiency. Data collection is carried out in close coordination with relevant bodies and with the inclusion of existing data sources such as energy certification databases.,Data collection and analysis measure,The aim is to comprehensively record the refurbishment potential in the entire Tyrolean building stock in order to be able to plan and design refurbishment measures more specifically.,"The measure is financed from state funds, exact budget figures are currently not publicly disclosed in detail. A combination with federal or EU funding is possible depending on the part of the project.","Office of the Tyrolean State Government – in particular Departments for the Environment, Energy, Spatial Planning and Housing Development, Coordination within the framework of the Tyrolean Sustainability and Climate Strategy",• Creating a robust data base for future energy policy decisions • Increased efficiency and target accuracy of remediation funding • Long-term reduction of greenhouse gas emissions in the building area through targeted renovations • Support for the implementation of Directive (EU) 2024/1275,The action is in the process of implementation or preparation and initial steps for data collection and coordination with relevant bodies have been taken.,"Part of the Tyrolean Sustainability and Climate Strategy, valid since 2022","Ongoing, medium-term design; initial evaluations are planned in the next few yea rs in order to be able to derive measures quickly"
AT_203,Sustainability Commission In the context of a renovation,The Commission for the Assessment of Sustainability in the Supported Remediation can recommend a step change according to the Remediation and Decarbonisation Ordinance 2024 § 6 (3) if measures meet certain requirements and are implemented in a remediation project. (Circular economy in construction),Financial support measures,Strengthening circular construction,subsumed in the budget of the Recovery and Decarbonisation Ordinance 2024,"Business Group for Housing, Housing, Urban Renewal and Women",Strengthening circular construction,constantly,,constantly
AT_204,TIROL 2050 energy-autonomous; consulting services of the Energy Agency Tyrol,"TIROL 2050 energy-autonomous is the central energy policy objective of the Tyrolean state government, which was last confirmed as part of the ""Life with a future: Tyrolean sustainability and climate strategy 2025- 2027""programme of measures. TIROL 2050 energy-autonomous stands for a livable and crisis-proof future for the next gene ratios – free of fossil fuels. On the way there, implementation support is needed, because not only technologies such as photovoltaics or e-mobility will play a role. The transition to a sustainable society is best achieved through many individual steps and the diversity of ideas of the people in Tyrol. Concrete activities and measures will therefore be bundled under the umbrella of TIROL 2050 in an energy-autonomous manner and effectively prepared for the public in order to make progress visible and encourage participation. The Energy Agency Tyrol, as the independent regional advisory body on energy issues, combines the necessary fields of expertise and manages this nationwide change process with the involvement of the most important stakeholders.","Awareness-raising action; As part of the TIROL 2050 energy-autonomous process, all the above-mentioned levels of impact are addressed and served.","Practical assistance in the implementation of measures and projects. At the core of TIROL 2050 energy-autonomous is to reduce energy consumption and expand renewable energies. In order to achieve energy autonomy, the energy consumption in Tyrol must be reduced by 30 percent and fully covered by renewable, domestic energy sources. The Province of Tyrol has commissioned a project team consisting of the Energy Agency Tyrol, the University of Innsbruck and the MCI to develop a target scenario for 2050. The current technology and resource use scenario outlines with which technologies and which domestic resources the energy transition will succeed with continued economic and population growth.",Public funding of the State of Tyrol,"Energieagentur Tirol GmbH; Bürgerstraße 1-3, 6020 Innsbruck","Process coordination, public relations: imparting and building knowledge, networking and dialogue: bringing together the most important actors, cooperations: participation of all is required",ongoing project,Since government resolution 17.06.2014,continuous and indefinite
AT_205,Technologies and innovations for the climate-neutral city (TIKS),"The Federal Ministry for Innovation, Mobility and Infrastructure (BMIMI) and the Climate and Energy Fund have set themselves the goal of jointly enabling and accelerating the implementation of energy and climate targets in Austrian cities, districts and buildings through the ‘Climate-neutral city’ mission. The focus is on urban technology development: (further) development of (single) technologies and scalable solutions that enable the implementation of climate-neutral, (climate-)resilient, climate-change-adapted and circular buildings and districts, both in new construction and renovation. Key research priorities are: a. Digital technologies and tools b. Construction process and innovations c. Building materials and building materials d. Renovation technologies and concepts e. Renewable energies and building-grid interaction f. Technologies for heating and cooling g. Robustness and resilience","RTD action (research, technology, innovation)","Development of technological and innovative solutions for the conversion of climate-neutral districts and buildings - Contribute to the development of resilient and climate-neutral buildings and districts, including sustainable design of public spaces and transport spaces - Austrian companies are a global technology leader in the field of sustainable construction and are involved in international projects",BMIMI 60 MEUR (2024-2026) UG34 Climate and Energy Fund: approx. 8 MEUR p.a. UG41,"BMIMI, Climate and Energy Fund","• Positive climate impact and decarbonisation in the construction sector • Successful adaptation to the consequences of climate change • Increasing resource, material and energy efficiency while taking circularity into account • Increasing the share of renewable energy sources and regenerati ver materials • Knowledge building and transfer • Increasing Austrian competitiveness by market transfer of innovative technologies and solutions • Standardization and guidelines in the construction sector are adapted to the latest knowledge from FTI and lead to a significant impact",FinV 2024-2026,2022,2022-2030
AT_206,Territorial Employment Pact of Carinthia,"The Territorial Employment Pact Carinthia is a regional programme designed to promote employment and economic development in Carinthia. The programme includes various measures, such as the promotion of business start-ups, the creation of jobs and the improvement of infrastructure.","Ongoing, cooperative programme to support the Carinthian labour market",,"The TEP 2025 has a volume of 88.5 million euros. Of these, 31.4 million euros came from the AMS Carinthia, 26.4 million euros from the state of Carinthia, 15.5 million euros from the Ministry of Social Affairs Service, 5.3 million euros from the EU, 5.5 million euros from the own-account management of the projects and 4.5 million euros from a number of other co-financing grants and donors.","The TEP platform has existed in Carinthia since 1998 and is primarily financed by the core partners AMS Kärnten and Land Kärnten. Social partners and interest groups, like the Carinthian Ministry of Social Affairs, are also TEP partners, while regional organisations such as the Carinthian Economic Development Fund (KWF), as well as institutions such as the Association for the Promotion of Carinthian Work Foundations (VFKA), the Vocational and Educational Orientation Carinthia (BBOK) or the Coordination Office for Education up to 18 support the TEP platform in its bera tender function.",Long-term cooperation and program. Implementation throughout Carinthia through projects and initiatives.,"Since 1998, the main institutions of education and labour market policy have been working together at regional level in Carinthia under the Territorial Employment Pact for Carinthia.",,"Ongoing. The TEP, the corresponding budget and the measures are renewed annually."
AT_207,Thermal-energetic regeneration (THEWOSAN),"As part of the thermal-energetic renovation of residential buildings (THE- WOSAN), structural measures for the thermal renovation of the entire building envelope, such as the insulation of all external components, the removal of thermal bridges or the increase of passive-solar heat, are promoted. In addition, technical measures such as the conversion or construction of the heating and hot water treatment plant with primary energy-efficient and/or CO2 reduced or renewable energy sources are promoted. The aim is to allow heating and thus significantly reduce the CO2 emissions of the building as well as the consumption of fossil fuels. Funding is provided in the form of a non-refundable contribution in the amount of 35 € to 220 € per m ² usable area depending on the energy level achieved. The maximum amount of the non-refundable contribution is limited depending on the funding level of the total eligible construction costs. https://www.wohnfonds.wien.at/firstinfo _thewosan _energy saving",Financial support,The thermal-energy renovation is to be further increased with a focus on the decarbonisation of buildings.,subsumed in the budget of the Recovery and Decarbonisation Ordinance 2024,"Business Group for Housing, Housing, Urban Renewal and Women","mainly the reduction of fossil fuels, the reduction of energy consumption in residential buildings and the repair of buildings with desubstance.",constantly,,constantly
AT_208,Tiroler Bauordnung (Tyrolean Building Code),"With the Tiroler Bauordnungsnovelle 2022 (TBO 2022), the use of photovoltaic and solar thermal systems on buildings has been significantly simplified.","economic measure, legislative and regulatory strategy measure","Accelerating the expansion of solar power plants, increasing the number of plants, reducing bureaucratic hurdles",No budget since simplification,"Office of the Tyrolean provincial government, district administrative authorities, local building authorities","Accelerating the expansion of solar energy systems, cutting red tape, reducing costs",Ongoing implementation,"was implemented with the TBO Amendment (TBO 2022), which entered into force on 1 September 2023.",Ongoing implementation
AT_209,Training Energy-efficient construction and refurbishment,"The basic training of energy consultants is carried out in the sense of the ""Ar beitsgemeinschaft EnergieberaterInnen-Training"", which is supported by local energy institutions in the Austrian federal states (www.arge- eba.or.at). For the already certified energy providers, further training is offered in the course of the network meetings.",Education and training,One training course per year.,Funding is provided through course fees.,"Dept. 15 – Location, Spatial Planning and Energy",Qualified energy consultants are an important basis for building up a corresponding understanding of energy efficiency and renewable energy in the building sector in the Carinthian population and for accompanying the implementation of measures.,constantly,2005,constantly
AT_210,"Training courses on the OIB guidelines 1-6 (BAUAkademie, Chamber of Civil Engineers for Styria and Carinthia)","The central administration trains non-official construction experts within the meaning of §28 StBauG and provides practical knowledge on OIB guidelines 1 to 6 (mechanical strength and stability, fire protection, hygiene, health and environmental protection, safety of use and accessibility, sound insulation and energy saving and thermal insulation). Link: https://www.verwaltung.steiermark.at/cms/ziel/74838472/DE/ https://www.ztakademie.at/ https://stmk.bauakademie.at/",Steiermärkisches Baugesetz (§28 Link: https://www.ris.bka.gv.at) Climate and Energy Strategy Styria 2030 plus Link: https://www.technik.steiermark.at/cms/ziel/128523298/en/,"The aim is the qualification of architects, builders, civil engineers and experts to ensure legally compliant planning, execution and inspection in the construction industry.",,"A 13 Environment and Spatial Planning, Building and Spatial Planning Unit, ZT Chamber, Bauakademie",• Legal requirement • Quality assurance measure,constantly,constantly,constantly
AT_211,Tyrol Chamber of Agriculture,"The advisory services offered by the Tirol Chamber of Agriculture are aimed at agricultural companies on all energy-related topics, the use of renewable energies and funding opportunities. The counselling centre provides basic information, if desired also directly on site at the farm.","economic training measures, awareness-raising measures","more energy efficient management, cost reduction, implementation of renewable forms of energy",,Chamber of Agriculture for Tyrol,Reduction of electricity consumption and electricity costs; energy-efficient catering,ongoing offers,,constantly
AT_212,Tyrolean Energy Fund (TEF),"The Tiroler Energiefonds (Tyrolean Energy Fund) is part of the Municipal Compensation Fund, for which the Province of Tyrol will contribute EUR 3 million per year from the Future Fund established in 2024 to 2028.","economic measures, training measures, awareness-raising measures, tax measures",Support for municipal measures to increase energy efficiency or for sustainable heating systems,€3 million in 2024; €3 million in 2025; €3 million in 2026; €3 million in 2027; 2028 €3 million,"Office of the Tyrolean State Government, Eduard-Wallnöfer-Platz 3, 6020 Inns bruck",Achieving the targets of the Energy Efficiency Directive (EEDIII),,2024,2024-2028
AT_213,Tyrolean housing promotion and refurbishment,"In line with Directive (EU) 2024/1275 (recital 19), the Land of Tyrol is providing new financial support for both individual component renovation and comprehensive renovation. Extensive renovation of buildings is particularly encouraged (Ökobo nus).","Support measures of a financial, economic nature, awareness-raising measures, tax measures (construction cost limit)",Reduction of energy consumption in private households; expansion of environmental heat in the areas of residential renovation; reduction of greenhouse gas emissions,Budget resources Office of the Tyrolean State Government (state budget),Office of the Tyrolean State Government; Department of Housing Development,"Reduction of energy consumption in private households; reduction of greenhouse gas emissions, climate protection, reduction of operating costs, job creation, social policy impact (also ensuring access to housing for middle- and low-income people, home ownership)",already in use,,
AT_214,Tyrolean sustainability and climate strategy,The Tyrolean sustainability and climate strategy is the flagship of the state of Tyrol in order to achieve the climate and energy targets by 2050. The strategy includes both climate change and resource protection as well as climate protection.,"Awareness-raising, education and training activities; policies, policy measures",Reduction of greenhouse gas emissions by at least 55% by 2030; 100% electricity from renewable sources by 2035; climate neutrality by 2040; national energy autonomy by 2050,Budget resources Office of the Tyrolean State Government (state budget),"Office of the Tyrolean State Government, Energy Agency Tyrol, Municipalities, Economic Operators, University of Innsbruck","Increasing the regional economy, reducing fossil fuels, improving the climate, significantly reducing emissions","Annual monitoring reports by the State of Tyrol, several funding programmes by the Department of Housing Development",2022 by decision of the Tyrolean State Government,2022 to 2050
AT_215,Updating the Lower Austria Climate and Energy Roadmap 2020 to 2030 with a view to 2050,"On 23.10.2025, the Lower Austria State Parliament decided to update the Lower Austria Climate and Energy Roadmap, which is the climate and energy strategy of the Lower Austria. Lower Austria is thus setting the course for a clean, renewable and sustainable energy future. With ambitious but feasible goals, orientation and predictability should be created for the communities, the economy and all people in Lower Austria.",,"Lower Austria is increasing the targets for wind power (8,000 GWh by 2030) and photovoltaics (4,500 GWh by 2030). By 2030, more than half of total energy consumption will be covered by renewable energy – long-term energy transition by 2050. By 2040, phase-out of fossil fuels in space, taking into account social and technical criteria.",,,"€1.1 billion in fossil fuel savings in 2030. Investments in green technologies, including leverage, will secure or create more than 60,000 green jobs by 2030. €1.6 billion in gross value added through investments in wind, PV and building renovation by 2030.",Decision by the Lower Austrian Landtag on 23 October 2025,,2020 to 2030
AT_216,Upper Austria Climate and Energy Strategy,"Basic strategies are anchored in Upper Austria, among others, in the Upper Austria Energy Strategy, in which the energy strategy ""Energy Leading Region 2050"" was terged with the measures listed there. Upper Austria Climate and Energy Strategy (2022) https://www.landoberoesterreich. gv.at/files/publikationen/us_klima_energiestrategie.pdf Energie-Leitregion 2050 (2017) https://www.energiesparverband.at/fileadmin/esv/Broschueren/EnergieL eitregion _ooe _2050.pdf https://www.landoberoesterreich. gv.at/files/publikationen/us_klima_energiestrategie.pdf",Overarching Master Plan for Climate Action and Energy,continuous improvement of heat intensity,from the current budget of the state of Upper Austria,Specialist services of the Office of the Oö. Provincial government,Guidelines for the numerous implementation measures in the field of climate protection and energy,constantly,Upper Austria’s Climate and Energy Strategy 2023 and the ‘Energy Leading Region Upper Austria 2050’ 2017,by 2040
AT_217,Urban Energy Efficiency Programme 2030 (SEP 2030),"The SEP 2030 produced a catalogue of 24 packages of measures and over 80 instruments. This focuses on the city of Vienna's own sphere of activity and competence. The most important fields of action are mobility, buildings and the magistrate. What is new is that the transport sector will be included in the SEP 2030 for the first time. https://www.wien.gv.at/pdf/ma20/sep2030.pdf","Strategy on different CO2 intensive sectors (buildings, mobility, etc.)",Reduction of final energy consumption by 40% by 2050 compared to 2005.,from the current budget of the City of Vienna,"City of Vienna, City Councillor for Climate, Environment, Democracy and Human Resources",Reduction of final energy consumption by 40% by 2050 compared to 2005,constantly,since 2019,Ongoing until 2050
AT_218,Use of solar energy systems,"Under Section 80b(2) of the Steiermärkisches Baugesetz, Styria provides for a solar obligation for new buildings in the Steiermärkisches Baugesetz. In the case of existing buildings, incentive subsidies in the field of environmental subsidies (promotion of solar thermal energy, promotion of municipal PV roofs), housing subsidies (promotion for photovoltaic systems, incentives for thermal solar systems) and eco-fund subsidies (e.g. innovative photovoltaic double use, innovative energy storage and system integration) are used.",C limate and Energy Strategy Styria 2030 plus Link: https://www.technik.steiermark.at/cms/ziel/128523298/en/ Housing development Land Styria: Link: https://www.wohnbau.steiermark.at Steiermärkisches Baugesetz Link: Link: https://www.ris.bka.gv.at/Gel- tendeVersion.wxe?Request=LrStmk&Law number=20000070 Eco-fund support Styria: Link: https://www.technik.steier- mark.at/cms/ziel/130649548/EN,• Increase in the share of renewables in Styria • Reduction of energy imports • Expansion of solar energy systems in Styria,"Department 15 Energy, Housing and Technology","Department 13 Building and Spatial Planning Department 15 Energy, Housing and Technology",Increase in the share of renewables in Styria,constantly,Ongoing or legislative implementation until mid-2026,constantly
AT_219,Use of solar energy systems on buildings,"PV Strategy Upper Austria The use of solar energy systems on buildings is widespread in Upper Austria, around 1.2 million m ² thermal collector area and 2,000 MW peak PV power are mainly currently installed on buildings.","Strategy, funding programmes","3,500 GWh from PV (by 2030)",from the current budget of the Federal Government and the State of Upper Austria,Federal Government and Land,PV and solar thermal systems,constantly,1994 and 2021 respectively,constantly
AT_220,Use of solar energy systems on buildings,"Energy Promotion Directive 2025 Thermal solar installations on residential buildings are supported with one-off subsidies as part of energy promotion. Further measures: see 3.1.8 (New construction: Obligation to install a solar system with a certain minimum system output, otherwise no housing promotion). Implemented on state buildings In the Zero V mission, the expansion of photovoltaic systems was also promoted with the aim of point 2(d): 2. to reduce the energy demand in its own area of activity, i.e. the lane of the building and the vehicle pool, to the highest possible extent by 2040 and to cover it with renewable energy sources ². In order to achieve this objective, it is necessary to adopt an implementation plan for the years 2020 to 2030, which includes the following measures: suitable roof areas of state buildings must be equipped in the best possible way with solar and/or photovoltaic systems, provided that this is prevented by circumstances that cannot be greened (e.g. monument protection, local and landscape image, renovation date, etc.); ² Excluded from the requirement coverage with renewable energy sources are systems for peak load coverage and emergency operation and for vehicles in the areas where no economically justifiable marketable alternative is available (currently e.g. for heavy-duty vehicles, e.g.: riverworks etc.) The Mission Zero V Decision and the 2020-2024 Reports are publicly available and can be found at the following link: https://www.energieautonomie-vorarlberg.at/Focuses/missionze- rov In the summer of 2025, an evaluation of the entire building stock was carried out. The aim was to find further areas for PV systems. Here are the comments on the four groups of buildings according to the previous ta belle: Monument-protected buildings Basically, the Federal Monument Office is now more open to the topic of PV systems on the monument Protected Buildings. However, in the vast majority of cases, this aim is limited by lightning protection. Properties with min 1 building with PV system Here we have been diligent in recent years and have advanced the expansion of the PV systems. Full expansion is likely to be achieved in most cases. Close compression may still be possible in individual cases. No PV system possible or useful For this group of buildings, in our view, the construction of a PV system is either not possible or does not make sense. Buildings to be renovated without PV system This group of buildings still has a refurbishment of the hull in the coming years in accordance with §9 of the ""Statute on measures to increase energy efficiency"". In the course of the project development for the individual renovations, the installation of a PV system is examined and then, if necessary, implemented with the project hull renovation. Based on the current expansion, a further 300-350 kWp is expected for this sector. Currently, 10 thermal solar systems with 502 m ² are in use.",,,,,,,,
AT_221,Vienna's Smart Climate City Strategy,"As early as 2014, the Vienna Municipal Council set a milestone with the Smart City Vienna Framework Strategy to ensure high quality of life for all Viennese – with a target horizon of 2050. In 2020, the goal of climate neutrality by 2040 was enshrined in the Vienna Government Agreement and the Vienna Smart Climate City Strategy was revised accordingly. https://smartcity.wien.gv.at/strategy/",Overarching Master Plan for Energy,Climate neutrality by 2040,from the current budget of the City of Vienna,"City of Vienna, City Councillor for Climate, Environment, Democracy and Human Resources","The Vienna Smart Climate City Strategy is a guideline for the numerous implementation measures in the energy sector, with the goal of climate neutrality by 2040.",constantly,Since 2014,Ongoing until 2040
AT_222,Vienna Climate Roadmap as a comprehensive catalogue of measures,"The Vienna Climate Roadmap describes our common path to achieving Vienna's climate targets by 2040 in the sense of a climate-controlled city. The Vienna climate targets were agreed in the Government Agreement 2020 or adopted by the City Council in the updated Smart City Strategy Vienna (2022) and include targets for both climate protection and climate adaptation. Through their interaction, the quality of life for all Viennese is to be ensured and climate neutrality and climate resilience is to be achieved. https://www.wien.gv.at/special/climate timetable/with-the- Vienna-climate timetable-plan-to-climate-friendly-city/climate timetable-to- climate-friendly-city/","Strategy on different CO2 intensive sectors (buildings, mobility, etc.) and climate change adaptation",Climate neutrality by 2040,from the current budget of the City of Vienna,"City of Vienna, City Councillor for Climate, Environment, Democracy and Human Resources","The Vienna Climate Roadmap is a guideline for the numerous implementation measures in the energy sector, with the goal of climate neutrality by 2040.",constantly,since 2022,Ongoing until 2040
AT_223,Vienna Energy Advisory Centre against Energy Poverty,More and more people are affected by energy poverty due to the inflation of electricity and heat prices in recent years. Wien Energie's Energy Poverty Advisory Service offers support to these people. https://www.wien.gv.at/cohabitation/social assistance-minimum security- support-at-energy costs,"Awareness-raising, counselling",Support in financial emergencies.,,,Reduction of financial distress.,constantly,,constantly
AT_224,Vienna Garage Act,"(3) In the case of the construction of garages, fire-protected passages of an empty piping for the production of a power supply for the parking spaces must be provided for the subsequent creation of loading areas for electrically powered motor vehicles. Space reserves for electricity metering and distribution as well as planning reserves for grid connection power shall be taken into account. (3a) In the case of new construction of non-residential buildings which have more than ten parking spaces, at least one la depunkt shall be erected for every tenth parking space and an empty straw within the meaning of paragraph 3 for at least every fifth parking space. This also applies to major renovations of such non-residential buildings, provided that the parking spaces are located within the building or adjacent to the building; and the renovation measures include one of these pitches or the electrical infrastructure of the building. (3b) In the case of new residential buildings with more than ten parking spaces, at least one charging point shall be installed for every tenth parking space and an empty piping within the meaning of paragraph 3 for all other parking spaces. This also applies to major renovations of such residential buildings, provided that the parking spaces are located within the building or adjacent to the building; and the renovation measures include one of these pitches or the electrical infrastructure of the building. (3c) In the case of existing non-residential buildings which have more than 20 parking spaces, at least one charging point shall be built for every tenth parking space by 1 January 2030.",Building regulations,Multiplication of recharging points,,"Business Group for Housing, Housing, Urban Renewal and Women",Retrofitting and upgrading a modern and sustainable mobility infrastructure in residential construction in order to stimulate attractive and climate-friendly mobility.,constantly,,constantly
AT_225,Viennese Heat and Cold 2040,"The concept of ""Out of Gas - Viennese Heating and Cooling 2040"" provides an overview of the most important instruments and tools to heat and, where possible, cool all residential buildings in Vienna with renewable energy by 2040. These include: technical solutions, legal framework conditions, subsidies and the energy space platform. https://www.wien.gv.at/environment/waerme-und-kaelte-2040",Basic technical research,,Budget of the City of Vienna,"City of Vienna, City Councillor for Climate, Environment, Democracy and Human Resources",,,,
AT_226,Viennese building regulations,"In the case of additions and conversions, as well as modifications and repairs of at least 25 % of the surface of the building envelope of Gebäu, those in Building Class I which do not contain more than two dwellings, with the exception of the buildings referred to in Section 118(4), the uppermost accessible ceilings of heated rooms of the entire building or the roofs directly above must be insulated in such a way that the requirements for new buildings for heat-transfer parts are met.",legislative,,Non-budgetary,City of Vienna (construction police),Reduction of final energy consumption,constantly,,constantly
AT_227,Viennese building regulations,"In the case of new construction, additions and conversions and in the case of changes and repairs of at least 25 vH of the surface of the building envelope as well as in the case of changes to the technical building system for heat supply, highly efficient alternative systems must be used, provided that this is technically, ecologically and economically",Legislative building regulation,Reduction of fossil-fuelled heating systems,,"Business Group for Housing, Housing, Urban Renewal and Women",Reduction of fossil-fuelled heating systems,constantly,,constantly
AT_228,Viennese heating plan 2040,The Viennese heating plan 2040 shows which heating supply is most suitable for buildings that are currently still heated with oil or gas in the respective areas. It includes all the built-up areas of the city. https://www.wien.gv.at/environment/waermeplan-2040,,,,"City of Vienna, City Councillor for Climate, Environment, Democracy and Human Resources",,,,
AT_229,Village & urban renewal,"In six important thematic areas – photovoltaics, e-mobility, ‘getting out of the oil’, heat consumption, street lighting, climate adaptation – targets have therefore been defined in coordination with the Land Lower Austria, which must be achieved. Currently, plans are being made that provide orientation to the 573 municipalities and cities and make the successes more measurable and visible.",The Climate Compass enables a quantitative measurement of the 2030 climate targets for municipalities in Lower Austria and points the way to reaching the target. This dynamic online tool is available to all municipalities. The combination of statistical data and individual data inputs on the part of the municipalities enables precise real-time evaluation. The Climate Compass represents exemplary commitment to active climate protection and strongly demonstrates how decisively your community is addressing the challenges of the energy transition.,Climate compass,,,,,,
AT_230,WAFF – Green Jobs,"Green jobs – also known as eco-jobs or climate-related professions– help to mitigate climate change, preserve nature and support a green economy. Above all, it is about protecting and restoring the environment and promoting sustainable development. https://www.waff.at/professional training/climate-relevant professions- green- jobs/",Economic development measure with a focus on infrastructure development and employment promotion,Increasing the supply of skilled workers.,from the budget of the City of Vienna,Fund of the City of Vienna,The measure is expected to have a positive effect on the regional economy and employment and to ensure that sufficient skilled workers are available for future tasks.,constantly,,constantly
AT_231,We SAN Vienna,"‘Wir SAN Wien’, as the City of Vienna’s refurbishment offensive, is leading the city into the future. The goal: to make the city climate- and future- proof. The focus is on the renovation of residential buildings and blocks of houses over the next decades. The public space in between is also being redesigned and made climate-friendly. The aim is to preserve the quality of life and affordable housing in Vienna in the face of new challenges such as rising heat in the summer and climate change. All areas of climate protection play a role – for example, greening, insulation, renewable energy and various forms of participation.",Financial support measures,The aim is the best possible sustainable further development of residential areas.,subsumed in the budget of the Recovery and Decarbonisation Ordinance 2024,"Business Group for Housing, Housing, Urban Renewal and Women",The aim is the best possible sustainable further development of residential areas.,constantly,,constantly
AT_232,"Workshops on ""Potentials of the Circular Economy""","Tyrol is involved in several EU projects, where concrete experiences in the implementation of the circular economy are gathered in exchange with other countries and neighbouring regions (CHEERS4EU, Inno.Circle, ASTER). The objective of the programmes is to reflect on these findings (policy recommendations) also with the policy and policy makers at country level and to use them as added value for operational implementation. To this end, regular exchanges – bundled across ongoing projects and involving all operationally affected departments – are sought. The aim of this exchange is in particular to: - a deeper understanding of the relevant factors for the circular economy - optimising the effectiveness of the instruments in their combinations - Identification of stakeholders' needs and joint solutions for implementation - Input for the further development of the action programmes on the above-mentioned strategies",Data collection and analysis measure,"There is no concrete, publicly quantified objective in figures, but the measure aims at a clear competence within the Office of the Tyrolean Provincial Government and the subsequent establishment of the required structures.",Budget appropriations Office of the Tyrolean State Government,"Department of Regional Development, Department of Building Construction, Department of Housing Promotion, Department of Central Construction Services, Department of Environmental Protection, Energy Agency Tyrol",Raising awareness and leading the way as an example for the construction industry,Ongoing experience and exchange Stakeholders,End of 2025,No period set
AT_233,aws Building(s) Tomorrow,"The aim of the aws Building(s) Tomorrow Initiative is to identify and promote Austrian innovation potential in technical development and in the first phases of economic implementation. Measures to raise awareness, network and exchange know-how as well as monetary support are intended to address disruptive innovation opportunities in the building sector in a targeted manner. With this, the aws wants to contribute to the transformation to an economic, ecological and socially fair (more) building sector and to proactively support it.","RTD action (research, technology, innovation)","The aim of the aws Building(s) Tomorrow funding programme is to highlight the disruptive and innovative potential of Austrian companies and research institutions in the building and construction sector. In particular, companies and research institutions should be encouraged to put disruptive, radical ideas into practice. Specific projects will therefore be funded in the following phases: - Validation of proof-of-concept, - Development and construction of prototypes and - Implementation of pilot and demonstration activities",2024: approx. 2.5 MEUR 2026: approx. 3 MEUR,Austria Wirtschaftsservice GmbH (aws),"a) Radical technical leap Indicators: The project is a leap forward innovation with a high technological risk, especially with regard to the use of new materials, manufacturing processes, high-risk technologies, etc. Measurement Comparative studies, patents, technical specifications, risk analyses. b) Disruption of markets Indicators: Innovation has the potential to appeal to completely new groups of customers or to displace existing market participants. These innovations are rarely more complex than current solutions, but are significantly cheaper to use a smarter, smaller or more convenient. Measurement: market analyses, surveys, interviews, case studies. c) Efficiency and economic impact Indicators: cost savings, revenue growth, new markets, ROI. Measurement: cost savings compared to traditional me thoden, ROI, market share. d) Social and ecological impact Indicators: social infrastructure, environmental impact, jobs. Measurement: Socio-economic analyses, sustainability reports, CO2 balances. The projects must be compatible with the objectives of the European Green Deal and comply with the principle of the Do-No-Significant- Harm.",1. Call for tenders closed 11/25 2. Call for tenders 2026 in preparation,2024,2024-2027
